date	author	section	price	sold
1740-07-27	Dancourt (Florent Carton dit)	parterre	1	145
1740-07-28	Marivaux (Pierre de)	parterre	1	174
1740-07-28	Palaprat (Jean de)	parterre	1	174
1740-07-30	Baron (Michel Boyron dit)	parterre	1	472
1740-07-30	Saint-Foix (Germain-François Poullain de)	parterre	1	472
1740-07-31	Marivaux (Pierre de)	parterre	1	182
1740-07-31	Du Fresny (Charles)	parterre	1	182
1740-08-01	Racine (Jean)	parterre	1	331
1740-08-01	Du Fresny (Charles)	parterre	1	331
1740-08-02	Molière (Jean-Baptiste Poquelin dit)	parterre	1	36
1740-08-02	Molière (Jean-Baptiste Poquelin dit)	parterre	1	36
1740-08-03	Quinault (Philippe)	parterre	1	84
1740-08-03	Du Fresny (Charles)	parterre	1	84
1740-08-04	Voltaire (François-Marie Arouet dit)	parterre	1	467
1740-08-04	Molière (Jean-Baptiste Poquelin dit)	parterre	1	467
1740-08-06	Voltaire (François-Marie Arouet dit)	parterre	1	376
1740-08-06	Dancourt (Florent Carton dit)	parterre	1	376
1740-08-07	Du Fresny (Charles)	parterre	1	173
1740-08-07	Dancourt (Florent Carton dit)	parterre	1	173
1740-08-08	Corneille (Thomas)	parterre	1	152
1740-08-08	Du Fresny (Charles)	parterre	1	152
1740-08-10	Molière (Jean-Baptiste Poquelin dit)	parterre	1	358
1740-08-10	Molière (Jean-Baptiste Poquelin dit)	parterre	1	358
1740-08-11	Molière (Jean-Baptiste Poquelin dit)	parterre	1	111
1740-08-11	Legrand (Marc-Antoine)	parterre	1	111
1740-08-13	Voltaire (François-Marie Arouet dit)	parterre	1	377
1740-08-13	Du Fresny (Charles)	parterre	1	377
1740-08-14	Destouches (Philippe Néricault dit)	parterre	1	251
1740-08-14	Molière (Jean-Baptiste Poquelin dit)	parterre	1	251
1740-08-16	Regnard (Jean-François)	parterre	1	253
1740-08-16	Brueys (David-Augustin de)	parterre	1	253
1740-08-17	Molière (Jean-Baptiste Poquelin dit) / arrangée et versifiée par Corneille (Thomas)	parterre	1	161
1740-08-17	Racine (Jean)	parterre	1	161
1740-08-18	Molière (Jean-Baptiste Poquelin dit)	parterre	1	115
1740-08-18	Legrand (Marc-Antoine)	parterre	1	115
1740-08-20	Destouches (Philippe Néricault dit)	parterre	1	298
1740-08-20	Dancourt (Florent Carton dit)	parterre	1	298
1740-08-21	Regnard (Jean-François)	parterre	1	265
1740-08-21	Brueys (David-Augustin de)	parterre	1	265
