author	title	genre	acts	prose_vers	prologue	musique_danse_machine	date_de_creation
Bernard (Catherine)	Laodamie, reine d'Epire	tragédie	5	vers	f	f	1689-02-11
Bernis (François-Joachim de Pierres, cardinal de)	Amour et les Fées (L')	comédie	1	vers libres	f	t	1746-10-01
Billardon de Sauvigny (Edme-Louis)	Hirza ou les Illinois	tragédie	5	vers	f	f	1767-05-27
Billardon de Sauvigny (Edme-Louis)	Mort de Socrate (La)	tragédie	3	vers	f	f	1763-05-09
Billardon de Sauvigny (Edme-Louis)	Persifleur (Le)	comédie	3	vers	f	f	1771-02-08
Billardon de Sauvigny (Edme-Louis)	Washington ou la Liberté du Nouveau monde	tragédie	4	vers	f	f	1791-07-13
Bièvre (François-Georges Maréchal, marquis de)	Réputations (Les)	comédie	5	vers	f	f	1788-01-23
Bièvre (François-Georges Maréchal, marquis de)	Séducteur (Le)	comédie	5	vers	f	f	
Blin de Sainmore (Adrien-Michel-Hyacinthe)	Orphanis	tragédie	5	vers	f	f	1773-09-25
Boindin (Nicolas)	Bal d'Auteuil (Le)	comédie	3	prose	t	t	1702-08-22
Boindin (Nicolas)	Port de mer (Le)	comédie	1	prose	f	t	1704-05-27
Boindin (Nicolas) ; La Motte (Antoine Houdar de)	Trois Gascons (Les)	comédie	1	prose	f	t	1701-06-04
Boisrobert (François Le Métel de)	Jalouse d'elle-même (La)	comédie	5	vers	f	f	
Boisrobert (François Le Métel de)	Vraie Didon ou La Didon chaste (La)	tragédie	5	vers	f	f	
Boissy (Louis de)	Admète et Alceste	tragédie	5	vers	f	f	1727-01-25
Boissy (Louis de)	Amant de sa femme ou la Rivale d'elle-même (L')	comédie	1	prose	f	f	1721-09-19
Boissy (Louis de)	Babillard (Le)	comédie	1	vers	f	f	1725-06-16
Boissy (Louis de)	Badinage (Le)	comédie	1	vers	f	f	1733-11-23
Boissy (Louis de)	Dehors trompeurs ou l'Homme du jour (Les)	comédie	5	vers	f	f	1740-02-18
Boissy (Louis de)	Deux nièces (Les)	comédie	5	vers	f	f	1737-01-24
Boissy (Louis de)	Duc de Surrey (Le) ou Le Comte de Neuilly	pièce héroïque	5	vers	f	t	
Boissy (Louis de)	Embarras du choix (L')	comédie	5	vers	f	f	1741-12-11
Boissy (Louis de)	Folie du jour (La)	comédie	1	vers libres	f	t	1745-07-05
Boissy (Louis de)	Français à Londres (Le)	comédie	1	prose	f	f	1727-07-03
Boissy (Louis de)	Fête d'Auteuil (La) ou Fausse méprise (La)	comédie	3	vers libres	f	f	1742-08-23
Boissy (Louis de)	Impatient (L')	comédie	5	vers	t	f	1724-01-26
Boissy (Louis de)	Impertinent malgré lui (L')	comédie	5	vers	f	f	1729-05-14
Boissy (Louis de)	Médecin par occasion (Le)	comédie	5	vers	f	f	1745-03-12
Boissy (Louis de)	Pouvoir de la sympathie (Le)	comédie	3	vers	f	f	1738-07-05
Boissy (Louis de)	Péruvienne (La)	comédie	5	vers libres	f	f	1748-06-05
Boissy (Louis de)	Sage étourdi (Le) ou L'Homme indépendant	comédie	3	vers	f	f	1741-03-03
Boissy (Louis de)	Époux par supercherie (L')	comédie	2	vers	f	f	1744-03-09
Boistel d'Welles (Jean-Baptiste-Robert ou Robert)	Antoine et Cléopâtre	tragédie	5	vers	f	f	1741-11-06
Boistel d'Welles (Jean-Baptiste-Robert ou Robert)	Irène ou l'Innocence reconnue	tragédie	5	vers	f	f	1762-11-06
Boizard de Ponteau (Claude-Florimond)	Heure du berger (L')	comédie	1	prose	f	t	1737-11-12
Bonnet de Chemillin (Abbé)	Etranger (L')	comédie	1	vers	f	f	1745-08-09
Boursault (Edme)	Marie Stuart, reine d'Écosse 	tragédie	5	vers	f	f	1683-12-17
Boursault (Edme)	Mercure galant ou la Comédie sans titre (Le), Pièce sans titre (titre alt.)	comédie	4	vers	f	t	1683-03-05
Boursault (Edme)	Mots à la mode (Les)	comédie	1	vers	f	f	1694-08-19
Boursault (Edme)	Médecin volant (Le)	comédie	1	vers	f	f	
Boursault (Edme)	Nicandres ou les Menteurs qui ne mentent point (Les)	comédie	3	vers	f	f	
Boursault (Edme)	Phaéton	comédie	5	vers	f	f	1691-12-28
Boursault (Edme)	Ésope (titre alt.) / Fables d'Ésope ou Ésope à la ville (Les)	comédie	5	vers et vers libres	t	f	1690-01-18
Boursault (Edme)	Ésope à la cour	comédie héroïque	5	vers	t	f	1701-12-16
Boutet de Monvel (Jacques-Marie)	Amant Bourru (L')	comédie	3	vers libres	f	f	1777-08-13
Boutet de Monvel (Jacques-Marie)	Chevalier sans peur et sans reproche ou les Amours de Bayard (Le)	comédie héroïque	4	prose	f	f	1786-08-24
Boutet de Monvel (Jacques-Marie)	Clémentine et Desormes	drame	5	prose	f	f	1780-12-14
Boutet de Monvel (Jacques-Marie)	Victimes cloîtrées (Les)	drame	4	prose	f	f	1791-03-28
Boyer (Claude, abbé)	Artaxerce	tragédie	5	vers	f	f	
Boyer (Claude, abbé)	Judith	tragédie	5	vers	f	f	1695-03-04
Boyer (Claude, abbé) ; Le Clerc (Michel)	Oreste	tragédie	5	vers	f	f	1681-10-10
Boyer (Claude, abbé) pseud : Pader d'Assézan	Agamemnon ou  La Mort d'Agamemnon	tragédie	5	vers	f	f	
Boyer (Claude, abbé) pseud : Pader d'Assézan	Antigone	tragédie	5	vers	f	f	
Bret (Antoine)	Concert (Le)	comédie	1	prose	f	t	1747-11-16
Bret (Antoine)	Deux sœurs (Les)	comédie	2	prose	f	f	1767-11-20
Bret (Antoine)	Double extravagance (La)	comédie	3	vers	f	f	1750-07-27
Bret (Antoine)	Hôtellerie ou le Faux ami (L')	comédie	5	vers	f	f	1785-09-30
Bret (Antoine)	Jaloux (Le)	comédie	3	vers	f	f	1755-05-15
Bret (Antoine)	Mariage par dépit (Le)	comédie	3	prose	f	f	1765-06-13
Bret (Antoine)	Orpheline ou le Faux généreux (L')	comédie	3	vers	f	f	1758-01-18
Bret (Antoine)	École amoureuse (L')	comédie	1	vers libres	f	f	1747-09-11
Bret (Antoine)	Épreuve indiscrète (L')	comédie	2	vers	f	f	1764-01-30
Bret (Antoine) ; Godard d'Aucour (Claude) ; Villaret (Claude)	Quartier d'hiver (Le)	comédie	1	prose	f	t	1744-12-04
Brie (de)	Héraclides (Les)	tragédie	5	vers	f	f	1695-02-05
Brie (de)	Lourdaud (Le)	comédie	1	prose	f	f	1697-05-08
Brousse-Desfaucherets (Jean-Louis)	Avare cru bienfaisant (L')	comédie	5	vers	f	f	1784-12-15
Brousse-Desfaucherets (Jean-Louis)	Mariage secret (Le)	comédie	3	vers	f	f	
Brousse-Desfaucherets (Jean-Louis)	Portrait ou le Danger de tout dire (Le)	comédie	1	vers	f	f	
Brueys (David-Augustin de)	Avocat Patelin (L')	comédie	3	prose	f	f	1706-06-04
Brueys (David-Augustin de)	Gabinie	tragédie	5	vers	f	f	1699-03-14
Brueys (David-Augustin de)	Muet (Le)	comédie	5	prose	f	f	1691-06-22
Brueys (David-Augustin de)	Opiniâtre (L')	comédie	3	vers	f	f	1722-05-19
Brueys (David-Augustin de)	Sot toujours sot ou le Marquis paysan (Le)	comédie	1	prose	f	f	1693-07-03
Brueys (David-Augustin de) ; Palaprat (Jean de)	Empiriques (Les)	comédie	3	prose	f	f	1697-06-11
Brueys (David-Augustin de) ; Palaprat (Jean de)	Important de cour (L') ou Important (L')	comédie	5	prose	f	f	1693-12-16
Brunet (Pierre-Nicolas)	Noms changés, ou l'Indifférent corrigé (Les)	comédie	3	vers	f	f	1758-10-21
Brécourt (Guillaume Marcoureau, sieur de Brécourt, dit)	Cassette (La)	comédie	5	vers	f	t	1683-06-19
Brécourt (Guillaume Marcoureau, sieur de Brécourt, dit)	Jaloux invisible (Le) ou Bonnet enchanté (Le)	comédie	3	vers	f	t	1692-10-14
Brécourt (Guillaume Marcoureau, sieur de Brécourt, dit)	Noce de village (La)	comédie	1	prose	f	t	
Brécourt (Guillaume Marcoureau, sieur de Brécourt, dit)	Ombre de Molière (L')	comédie	1	prose	f	t	
Brécourt (Guillaume Marcoureau, sieur de Brécourt, dit)	Timon	comédie	1	vers	f	f	1684-08-13
Cahusac (Louis de)	Algérien ou les Muses comédiennes (L')	comédie-ballet	3	vers libres	t	t	1744-09-15
Cahusac (Louis de)	Comte de Warwick (Le)	tragédie	5	vers	f	f	1742-11-28
Cahusac (Louis de)	Pharamond	tragédie	5	vers	f	f	
Cahusac (Louis de)	Zénéïde	comédie	1	vers	f	t	1743-05-13
Cailhava de L'Estandoux (Jean-François)	Mariage interrompu (Le) ou La Fille supposée	comédie	3	vers	f	f	1769-04-10
Cailhava de L'Estandoux (Jean-François)	Présomption à la mode (La)	comédie	5	vers	f	f	
Cailhava de L'Estandoux (Jean-François)	Tuteur dupé (Le) ou La Maison à deux portes	comédie	5	prose	f	f	1765-09-30
Cailhava de L'Estandoux (Jean-François)	Égoïsme (L')	comédie	5	vers	f	f	
Cailhava de L'Estandoux (Jean-François)	Étrennes de l’amour (Les)	comédie-ballet	1	prose	f	t	1769-01-01
Cailhava de l'Estendoux (Jean-François)	Les Journalistes anglais	comédie	3	prose	f	f	1782-07-20
Campistron (Jean Galbert de)	Adrien	tragédie	5	vers	f	f	1690-01-11
Campistron (Jean Galbert de)	Alcibiade	tragédie	5	vers	f	f	1685-12-28
Campistron (Jean Galbert de)	Amante amant (L')	comédie	5	prose	f	f	1684-08-02
Campistron (Jean Galbert de)	Andronic	tragédie	5	vers	t	f	1685-02-08
Campistron (Jean Galbert de)	Arminius	tragédie	5	vers	f	f	1684-02-19
Campistron (Jean Galbert de)	Aétius	tragédie	5	vers	f	f	1693-01-28
Campistron (Jean Galbert de)	Jaloux désabusé (Le)	comédie	5	vers	f	f	1709-12-13
Campistron (Jean Galbert de)	Phocion	tragédie	5	vers	f	f	1688-12-16
Campistron (Jean Galbert de)	Phraate	tragédie	5	vers	f	f	
Campistron (Jean Galbert de)	Tiridate	tragédie	5	vers	f	f	1691-02-12
Campistron (Jean Galbert de)	Virginie	tragédie	5	vers	f	f	1683-02-12
Carbon de Flins Des Oliviers (Claude-Marie-Louis-Emmanuel)	Mari directeur ou le Déménagement du couvent (Le)	comédie	1	vers	f	f	1791-02-25
Carbon de Flins Des Oliviers (Claude-Marie-Louis-Emmanuel)	Réveil d'Épiménide à Paris (Le)	comédie	1	vers	f	f	1790-01-01
Carcavy (Charles-Alexandre, abbé)	Comtesse de Follenville (La)	comédie	1	prose	f	f	1720-10-11
Caux de Montlebert (Gilles de)	Lysimachus	tragédie	5	vers	f	f	1737-12-13
Caux de Montlebert (Gilles de)	Marius	tragédie	5	vers	f	f	1715-11-15
Chabanon (Michel Paul Guy de)	Faux noble (Le)	comédie	5	vers	f	f	1788-11-15
Chabanon (Michel Paul Guy de)	Éponine	tragédie	5	vers	f	f	1762-12-06
Chaligny des Plaines (François de)	Coriolan	tragédie	5	vers	f	f	1722-02-28
Chamfort (Sébastien-Roch-Nicolas de)	Jeune indienne (La)	comédie	1	vers	f	f	1764-04-30
Chamfort (Sébastien-Roch-Nicolas de)	Marchand de Smyrne (Le)	comédie	1	prose	f	f	1770-01-26
Chamfort (Sébastien-Roch-Nicolas de)	Mustapha et Zéangir	tragédie	5	vers	f	f	
Champmeslé (Charles Chevillet dit)	Divorce (Le)	comédie	5	vers	f	t	1683-09-06
Champmeslé (Charles Chevillet dit)	Fragments de Molière (Les)	comédie	2	prose	f	f	
Champmeslé (Charles Chevillet dit)	Grisettes ou Crispin chevalier (Les)	comédie	1	vers	f	f	
Champmeslé (Charles Chevillet dit)	Joueurs (Les)	comédie	5	vers	f	f	
Champmeslé (Charles Chevillet dit)	Parisien (Le)	comédie	5	vers	f	f	
Champmeslé (Charles Chevillet dit)	Rue Saint-Denis (La)	comédie	1	prose	f	f	
Champmeslé (Charles Chevillet dit)	Veuve (La)	comédie	1	prose	f	f	1699-07-30
Chateaubrun (Jean-Baptiste Vivien de)	Mahomet second	tragédie	5	vers	f	f	1714-11-13
