date	author	title	ordering	register_num	receipts	representation	signatory	ouverture	cloture	free_access	firstrun	firstrun_perfnum	reprise	reprise_perfnum	newactor	actorrole	debut	ex_attendance	ex_representation	ex_place	image_volume	image_page
1773-05-17	Sedaine (Michel-Jean)	Philosophe sans le savoir (Le)	1	29		17	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	065
1773-05-17	Collet de Messine (Jean-Baptiste)	Île déserte (L')	2	29		17	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	065
1773-05-18	La Chaussée (Pierre-Claude)	Mélanide	1	30		18	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	067
1773-05-18	Legrand (Marc-Antoine)	Usurier gentilhomme (L')	2	30		18	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	067
1773-05-19	Racine (Jean)	Iphigénie ou Iphigénie en Aulide	1	31		19	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	069
1773-05-19	Boissy (Louis de)	Français à Londres (Le)	2	31		19	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	069
1773-05-21	Boursault (Edme)	Ésope à la cour	1	32		20	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	072
1773-05-21	Legrand (Marc-Antoine)	Galant coureur ou l'Ouvrage d'un moment (Le)	2	32		20	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	072
1773-05-22	Voltaire (François-Marie Arouet dit)	Sémiramis	1	33		21	Dauberval	f	f	f	f	0	f		""	""		""	""	""	138	073
1773-05-22	Brueys (David-Augustin de)	Avocat Patelin (L')	2	33		21	Dauberval	f	f	f	f	0	f		""	""		""	""	""	138	073
1773-05-23	Beaumarchais (Pierre-Augustin Caron de)	Eugénie	1	34		22	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	075
1773-05-23	Destouches (Philippe Néricault dit)	Fausse Agnès ou le Poète campagnard (La)	2	34		22	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	075
1773-05-24	Belloy (Pierre Laurent de)	Siège de Calais (Le)	1	35		23	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	077
1773-05-24	Hauteroche (Noël Lebreton, sieur de)	Cocher supposé (Le)	2	35		23	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	077
1773-05-26	Belloy (Pierre Laurent de)	Siège de Calais (Le)	1	36		24	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	079
1773-05-26	Saint-Foix (Germain-François Poullain de)	Oracle (L')	2	36		24	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	079
1773-05-27	Molière (Jean-Baptiste Poquelin dit)	École des femmes (L')	1	37		25	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	081
1773-05-27	Molière (Jean-Baptiste Poquelin dit)	Précieuses ridicules (Les)	2	37		25	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	081
1773-05-28	Piron (Alexis)	Métromanie ou le Poète (La)	1	38		26	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	083
1773-05-28	Regnard (Jean-François)	Sérénade (La)	2	38		26	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	083
1773-05-29	Racine (Jean)	Mithridate	1	39		27	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	085
1773-05-29	Rochon de Chabannes (Marc-Antoine-Jacques)	Heureusement	2	39		27	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	085
1773-05-31	Voltaire (François-Marie Arouet dit)	Mérope	1	40		28	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	087
1773-05-31	Du Fresny (Charles)	Dédit (Le)	2	40		28	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	087
1773-06-01	Racine (Jean)	Mithridate	1	41		1	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	089
1773-06-01	Guyot de Merville (Michel)	Consentement forcé (Le)	2	41		1	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	089
1773-06-02	Molière (Jean-Baptiste Poquelin dit)	Femmes savantes (Les)	1	42		2	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	091
1773-06-02	Dancourt (Florent Carton dit)	Moulin de Javelle (Le)	2	42		2	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	091
1773-06-03	Renou (Antoine)	Térée et Philomèle	1	43		3	Dauberval & Dalainval	f	f	t	t	1	f		""	""		""	""	""	138	093
1773-06-03	Du Fresny (Charles)	Esprit de contradiction (L')	2	43		3	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	093
1773-06-04	Regnard (Jean-François)	Ménechmes ou les Jumeaux (Les)	1	44		4	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	095
1773-06-04	Poisson (Philippe)	Impromptu de campagne (L')	2	44		4	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	095
1773-06-05	Corneille (Pierre)	Cid (Le)	1	45		5	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	097
1773-06-05	Poinsinet (Antoine-Alexandre-Henri)	Cercle ou la Soirée à la mode (Le)	2	45		5	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	097
1773-06-06	Voltaire (François-Marie Arouet dit)	Café ou l'Écossaise (Le) ou L'Écossaire ou le Café	1	46		6	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	099
1773-06-06	Boursault (Edme)	Mercure galant (Le) ou la Comédie sans titre / La Pièce sans titre (titre alt.)	2	46		6	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	099
